CATEGORY,SUB CATEGORY
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
Plant shut down,Plant shut down
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
FEED HOPPER,LEVEL LOW
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
HPGR,INSPECTION
HPGR,INSPECTION
CBC-2,JAM
RAINFALL,RAINFALL
CBC-2,INSPECTION
CBC-2,INSPECTION
BALL MILL,TRIPPED
BALL MILL,TRIPPED
SILO BIN,LEVEL HIGH
